name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,start_page,end_volume,end_page,remark
ZH_23,UN_277,ZH_23,般若波羅蜜多心經,2,1,8,384,8,386,
ZH_24,UN_342,ZH_24,大寶積經,120,120,8,387,9,476,
ZH_25,UN_343,ZH_25,大方廣三戒經,3,3,9,477,9,509,
ZH_26,UN_391,ZH_26,佛說無量清凈平等覺經,4,4,9,510,9,551,
ZH_27,,ZH_27,佛說阿彌陁經,2,2,9,,9,,
ZH_28,UN_390,ZH_28,佛說無量壽經,2,2,9,589,9,615,
ZH_29,UN_345,ZH_29,阿閦佛國經,2,2,9,616,9,641,
ZH_30,UN_346,ZH_30,佛說大乘十法經,1,1,9,642,9,653,
ZH_31,UN_347,ZH_31,佛說普門品經,1,1,9,654,9,665,
ZH_33,UN_349,ZH_33,佛說胞胎經,1,1,9,672,9,682,
ZH_34,UN_350,ZH_34,文殊師利佛土嚴淨經,2,2,9,683,9,706,
ZH_35,UN_355,ZH_35,法鏡經,1,1,9,707,9,727,
ZH_36,UN_354,ZH_36,鬱迦羅越問菩薩行經,1,1,9,728,9,743,
ZH_37,UN_356,ZH_37,佛說幻士仁賢經,1,1,9,744,9,755,
ZH_38,UN_357,ZH_38,佛說決定毗尼經,1,1,9,756,9,767,
ZH_39,UN_359,ZH_39,發覺凈心經,2,2,9,768,9,783,
ZH_40,UN_364,ZH_40,佛說優填王經,1,1,9,784,9,787,
ZH_42,UN_366,ZH_42,佛說須摩提菩薩經,1,1,9,792,9,796,
ZH_44,UN_367,ZH_44,佛說阿闍貰王女阿術達菩薩經,1,1,9,803,9,813,
ZH_45,UN_368,ZH_45,佛說離垢施女經,1,1,9,814,9,827,
ZH_46,UN_369,ZH_46,得無垢女經,1,1,9,828,9,841,
ZH_47,UN_370,ZH_47,文殊師利所說不思議佛境界經,2,2,9,842,9,854,
ZH_48,UN_372,ZH_48,佛說如幻三昧經,2,2,9,855,9,895,
ZH_49,UN_371,ZH_49,聖善住意天子所問經,3,3,9,896,9,929,
ZH_50,UN_373,ZH_50,佛說太子刷護經,1,1,9,930,9,932,
ZH_51,UN_374,ZH_51,佛說太子和休經,1,1,9,933,9,934,
ZH_52,UN_375,ZH_52,慧上菩薩問大善權經,2,2,9,935,9,956,
ZH_53,UN_377,ZH_53,大乘顯識經,2,2,9,957,9,972,
ZH_54,UN_378,ZH_54,佛說大乘方等要慧經,1,1,9,973,9,974,
ZH_55,UN_379,ZH_55,彌勒菩薩所問本願經,1,1,9,975,9,981,
ZH_56,UN_380,ZH_56,佛說遺日摩尼寶經,1,1,9,982,9,991,
ZH_57,UN_381,ZH_57,佛說摩訶衍寶嚴經,1,1,9,992,9,1004,
ZH_58,UN_383,ZH_58,勝鬘獅子吼一乘大方便方廣經,1,1,9,1005,9,1016,
ZH_59,UN_384,ZH_59,毗耶娑問經,2,2,9,1017,9,1037,
ZH_60,UN_433,ZH_60,大方等大集經,60,60,10,1,10,696,
ZH_61,UN_434,ZH_61,大乘大方等日藏經,10,10,10,697,10,803,
ZH_62,UN_435,ZH_62,大方等大集月藏經,10,10,10,804,10,902,
ZH_63,UN_451,ZH_63,大乘大集地藏十輪經,10,10,11,1,11,93,
ZH_64,UN_452,ZH_64,大方廣十輪經,8,8,11,94,11,161,
ZH_66,UN_455,ZH_66,菩薩念佛三昧經,5,5,11,185,11,241,
ZH_67,UN_449,ZH_67,虛空孕菩薩經,2,2,11,242,11,259,
ZH_69,UN_447,ZH_69,虛空藏菩薩神呪經,1,1,11,274,11,282,
ZH_71,UN_450,ZH_71,觀虛空藏菩薩經,1,1,11,292,11,298,
ZH_72,UN_456,ZH_72,大方等大集經菩薩念佛三昧分,10,10,11,299,11,372,
ZH_73,UN_457,ZH_73,大方等大集經賢護分,5,5,11,373,11,420,
ZH_74,UN_458,ZH_74,般舟三昧經,3,3,11,421,11,459,
ZH_75,UN_459,ZH_75,般舟三昧經(別本),1,1,11,460,11,467,
ZH_76,UN_460,ZH_76,拔陂菩薩經,1,1,11,468,11,477,
ZH_77,UN_438,ZH_77,阿差末菩薩經,7,7,11,478,11,542,
ZH_78,UN_437,ZH_78,無盡意菩薩經,6,6,11,543,11,601,
ZH_79,UN_440,ZH_79,大哀經,8,8,11,602,11,685,
ZH_80,UN_463,ZH_80,大集譬喻王經,2,2,11,686,11,704,
ZH_81,UN_441,ZH_81,寶女所問經,4,4,11,705,11,750,
ZH_82,UN_461,ZH_82,自在王菩薩經,2,2,11,751,11,772,
ZH_83,UN_462,ZH_83,奮迅王問經,2,2,11,773,11,796,
ZH_84,UN_443,ZH_84,無言童子經,2,2,11,797,11,821,
ZH_85,UN_445,ZH_85,寶星陀羅尼經,10,10,11,822,11,903,
ZH_86,UN_310,ZH_86,大方廣佛華嚴經,50,50,12,1,12,628,
ZH_87,UN_309,ZH_87,大方廣佛華嚴經,80,80,12,629,13,452,
ZH_88,UN_337,ZH_88,信力入印法門經,5,5,13,453,13,507,
ZH_89,UN_336,ZH_89,佛華嚴入如來德智不思議境界經,2,2,13,508,13,520,
ZH_90,UN_1163,ZH_90,大乘金剛髻珠菩薩修行分,1,1,13,521,13,530,
ZH_91,UN_338,ZH_91,大方廣佛華嚴經修慈分,1,1,13,531,13,535,
ZH_92,UN_335,ZH_92,度諸佛境界智光嚴經,1,1,13,536,13,545,
ZH_93,UN_334,ZH_93,大方廣入如來智德不思議經,1,1,13,546,13,553,
ZH_94,UN_332,ZH_94,大方廣如來不思議境界經,1,1,13,554,13,559,
ZH_95,UN_333,ZH_95,大方廣佛華嚴經不思議佛境界分,1,1,13,560,13,566,
ZH_96,UN_316,ZH_96,漸備一切智德經,5,5,13,567,13,637,
ZH_97,UN_314,ZH_97,菩薩十住行道品,1,1,13,638,13,643,
ZH_98,UN_339,ZH_98,佛贊莊嚴菩提心經,1,1,13,644,13,647,
ZH_99,UN_315,ZH_99,佛說菩薩十住經,1,1,13,648,13,651,
ZH_100,UN_311,ZH_100,佛說兜沙經,1,1,13,652,13,655,
ZH_101,UN_330,ZH_101,大方廣普賢所說經,1,1,13,656,13,658,
ZH_102,UN_313,ZH_102,諸菩薩求佛本業經,1,1,13,659,13,666,
ZH_103,UN_312,ZH_103,佛說菩薩本業經,1,1,13,667,13,677,
ZH_104,UN_340,ZH_104,佛說大方廣菩薩十地經,1,1,13,678,13,682,
ZH_105,UN_317,ZH_105,十住經,4,4,13,683,13,741,
ZH_106,UN_322,ZH_106,佛說如來與顯經,4,4,13,742,13,789,
ZH_107,UN_319,ZH_107,等目菩薩所問三昧經,3,3,13,790,13,824,
ZH_108,UN_320,ZH_108,顯無邊佛土功德經,1,1,13,825,13,825,
ZH_109,UN_326,ZH_109,佛說羅摩伽經,3,3,13,826,13,868,
ZH_110,UN_323,ZH_110,度世品經,6,6,13,869,13,945,
ZH_111,UN_327,ZH_111,大方廣佛華嚴經入法界品,1,1,13,946,13,951,
ZH_112,UN_409,ZH_112,大般湼槃經,40,40,14,454,14,453,
ZH_113,UN_410,ZH_113,南本大般湼槃經,36,36,14,455,14,927,
ZH_114,UN_411,ZH_114,大般泥洹經,6,6,15,1,15,98,
ZH_115,UN_412,ZH_115,大般涅槃經後分,2,2,15,99,15,122,
ZH_116,UN_413,ZH_116,佛說方等般泥洹經,2,2,15,123,15,150,
ZH_117,UN_414,ZH_117,四童子三昧經,3,3,15,151,15,179,
ZH_118,UN_415,ZH_118,大悲經,8,8,15,180,15,228,
ZH_119,UN_244,ZH_119,方廣大莊嚴經,12,12,15,229,15,352,
ZH_120,UN_245,ZH_120,普曜經,8,8,15,353,15,480,
ZH_121,UN_300,ZH_121,佛說法華三昧經,1,1,15,481,15,489,
ZH_122,UN_307,ZH_122,無量義經,1,1,15,490,15,503,
ZH_123,UN_295,ZH_123,薩曇分陀利經,1,1,15,504,15,506,
ZH_124,UN_1955,ZH_124,妙法蓮華經,7,7,15,507,15,597,
ZH_125,UN_293,ZH_125,正法華經,10,10,15,598,15,737,
ZH_126,UN_294,ZH_126,添品妙法蓮華經,7,7,15,738,15,831,
ZH_127,UN_645,ZH_127,維摩詰所說經,3,3,15,832,15,867,
ZH_128,UN_646,ZH_128,佛說維摩詰經,2,2,15,868,15,906,
ZH_129,UN_647,ZH_129,說無垢稱經,6,6,15,907,15,962,
ZH_130,UN_649,ZH_130,佛說大方等頂王經,1,1,15,963,15,977,
ZH_131,UN_650,ZH_131,大乘頂王經,1,1,15,978,15,987,
ZH_132,UN_648,ZH_132,善思童子經,2,2,16,1,16,13,
ZH_133,UN_218,ZH_133,大乘悲分陀利經,8,8,16,14,16,119,
ZH_134,UN_217,ZH_134,悲華經,10,10,16,120,16,245,
ZH_135,UN_757,ZH_135,金光明最勝王經,10,10,16,246,16,336,
ZH_136,UN_759,ZH_136,合部金光明經,8,8,16,337,16,412,
ZH_137,UN_726,ZH_137,佛說伅真陀羅所問寶如來三昧經,3,3,16,413,16,459,
ZH_138,UN_725,ZH_138,大樹緊那羅王所問經,4,4,16,460,16,503,
ZH_139,UN_834,ZH_139,佛說道神足無極變化經,4,4,16,504,16,537,
ZH_140,UN_833,ZH_140,佛昇忉利天為母說法經,3,3,16,538,16,560,
ZH_141,UN_659,ZH_141,佛說寶雨經,10,10,16,,16,,
ZH_142,UN_660,ZH_142,寶雲經,7,7,16,646,16,711,
ZH_143,UN_299,ZH_143,佛說阿惟越致遮經,3,3,16,712,16,755,
ZH_144,UN_296,ZH_144,妙法蓮花經觀世音菩薩普門品經,1,1,16,756,16,759,
ZH_145,UN_297,ZH_145,佛說廣博嚴淨不退轉輪經,6,6,16,760,16,818,
ZH_146,UN_298,ZH_146,不退轉法輪經,4,4,16,819,16,863,
ZH_147,UN_746,ZH_147,不必定入定入印經,1,1,16,864,16,875,
ZH_148,UN_745,ZH_148,入定不定印經,1,1,16,876,16,885,
ZH_149,UN_417,ZH_149,等集眾德三昧經,3,3,16,886,16,919,
ZH_150,UN_416,ZH_150,集一切福德三昧經,3,3,17,1,17,33,
ZH_151,UN_709,ZH_151,持心梵天所問經,4,4,17,34,17,107,
ZH_152,UN_708,ZH_152,思益梵天所問經,4,4,17,108,17,165,
ZH_153,UN_710,ZH_153,勝思惟梵天所問經,6,6,17,166,17,221,
ZH_154,UN_653,ZH_154,持人菩薩經,4,4,17,222,17,259,
ZH_155,UN_652,ZH_155,持世經,4,4,17,260,17,317,
ZH_156,UN_306,ZH_156,佛說濟諸方等學經,1,1,17,318,17,326,
ZH_157,UN_305,ZH_157,大乘方廣總持經,1,1,17,327,17,333,
ZH_158,UN_631,ZH_158,佛說文殊師利現寶藏經,2,2,17,334,17,361,
ZH_159,UN_630,ZH_159,大方廣寶篋經,3,3,17,362,17,388,
ZH_160,UN_768,ZH_160,大乘同性經,2,2,17,389,17,409,
ZH_161,UN_769,ZH_161,證契大乘經,2,2,17,410,17,429,
ZH_162,UN_771,ZH_162,深密解脫經,5,5,17,430,17,476,
ZH_163,UN_770,ZH_163,解深密經,5,5,17,477,17,517,
ZH_164,UN_772,ZH_164,佛說解節經,1,1,17,518,17,523,
ZH_165,UN_773,ZH_165,相續解脫地波羅蜜了義經,1,1,17,524,17,534,
ZH_166,UN_803,ZH_166,緣生初勝分法本經,2,2,17,535,17,546,
ZH_167,UN_802,ZH_167,分別緣起初勝法門經,2,2,17,547,17,560,
ZH_168,UN_2170,ZH_168,楞伽阿跋多羅寶經,4,4,17,561,17,621,
ZH_169,UN_765,ZH_169,入楞伽經,10,10,17,622,17,732,
ZH_170,UN_766,ZH_170,大乘入楞伽經,7,7,17,733,17,809,
ZH_171,UN_303,ZH_171,佛說菩薩行方便境界神通變化經,3,3,17,810,17,839,
ZH_172,UN_302,ZH_172,大薩遮尼乾子所說經,10,10,17,840,17,930,
ZH_173,UN_422,ZH_173,大方等無想經,6,6,18,1,18,57,
ZH_174,UN_1012,ZH_174,大雲經請雨品第六十四,1,1,18,58,18,69,
ZH_175,UN_1013,ZH_175,大雲輪請雨經,2,2,18,70,18,83,
ZH_176,UN_1011,ZH_176,大方等大雲經請雨品第六十四,1,1,18,84,18,94,
ZH_177,UN_751,ZH_177,諸法無行經,2,2,18,95,18,121,
ZH_178,UN_752,ZH_178,佛說諸法本無經,3,3,18,122,18,142,
ZH_179,UN_736,ZH_179,無極寶三昧經,2,2,18,143,18,162,
ZH_180,UN_737,ZH_180,佛說寶如來三昧經,2,2,18,163,18,188,
ZH_181,UN_733,ZH_181,佛說慧印三昧經,1,1,18,189,18,203,
ZH_182,UN_734,ZH_182,佛說如來智印經,1,1,18,204,18,214,
ZH_183,UN_1381,ZH_183,大灌頂經,12,12,18,215,18,323,
ZH_184,UN_729,ZH_184,文殊師利普超三昧經,3,3,18,324,18,371,
ZH_185,UN_619,ZH_185,佛說藥師如來本願經,1,1,18,372,18,377,
ZH_186,UN_620,ZH_186,藥師琉璃光如來本願功德經,1,1,18,378,18,384,
ZH_187,UN_621,ZH_187,藥師琉璃光七佛本願功德經,2,2,18,385,18,400,
ZH_189,UN_728,ZH_189,佛說阿闍世王經,2,2,18,402,18,437,
ZH_190,UN_730,ZH_190,佛說放鉢經,1,1,18,438,18,442,
ZH_191,UN_739,ZH_191,月燈三昧經,10,10,18,443,18,559,
ZH_192,UN_740,ZH_192,佛說月燈三昧經,1,1,18,560,18,565,
ZH_193,UN_741,ZH_193,佛說月燈三昧經,1,1,18,566,18,575,
ZH_194,UN_832,ZH_194,佛說無希望經,1,1,18,576,18,591,
ZH_195,UN_831,ZH_195,佛說象腋經,1,1,18,592,18,602,
ZH_196,UN_836,ZH_196,佛說大淨法門經,1,1,18,603,18,617,
ZH_197,UN_835,ZH_197,大莊嚴法門經,2,2,18,618,18,632,
ZH_198,UN_388,ZH_198,如來莊嚴智慧光明入一切佛境界經,2,2,18,633,18,652,
ZH_199,UN_389,ZH_199,度一切諸佛境界智嚴經,1,1,18,653,18,658,
ZH_200,UN_406,ZH_200,後出阿彌陀佛偈,1,1,18,659,18,660,
ZH_201,UN_396,ZH_201,佛說觀無量壽佛經,1,1,18,661,18,675,
ZH_202,UN_392,ZH_202,佛說阿彌陀經,1,1,18,676,18,678,
ZH_203,UN_394,ZH_203,佛說大阿彌陀經,2,2,18,679,18,699,
ZH_204,UN_399,ZH_204,稱讚淨土佛攝受經,1,1,18,700,18,705,
ZH_205,UN_628,ZH_205,佛說觀彌勒菩薩上生兜率天經,1,1,18,706,18,711,
ZH_206,UN_623,ZH_206,佛說彌勒大成佛經,1,1,18,712,18,723,
ZH_207,UN_627,ZH_207,佛說彌勒來時經,1,1,18,724,18,725,
ZH_208,UN_624,ZH_208,佛說彌勒下生經,1,1,18,726,18,733,
ZH_209,UN_625,ZH_209,佛說彌勒下生成佛經,1,1,18,734,18,738,
ZH_210,UN_626,ZH_210,佛說彌勒下生成佛經,1,1,18,739,18,742,
ZH_211,UN_840,ZH_211,佛說諸法勇王經,1,1,18,743,18,752,
ZH_212,UN_841,ZH_212,佛說一切法高王經,1,1,18,753,18,764,
ZH_213,UN_851,ZH_213,第一義法勝經,1,1,18,765,18,772,
ZH_214,UN_850,ZH_214,大威燈光仙人問疑經,1,1,18,773,18,780,
ZH_215,UN_695,ZH_215,順權方便經,2,2,18,781,18,798,
ZH_216,UN_694,ZH_216,樂瓔珞莊嚴方便品經,1,1,18,799,18,813,
ZH_217,UN_212,ZH_217,六度集經,7,7,18,814,18,946,
ZH_218,UN_231,ZH_218,太子須大拏經,1,1,18,947,18,966,
ZH_219,UN_234,ZH_219,佛說菩薩睒子經,1,1,19,1,19,4,
ZH_221,UN_227,ZH_221,佛說太子慕魄經,1,1,19,9,19,12,
ZH_222,UN_228,ZH_222,佛說太子墓珀經,1,1,19,13,19,17,
ZH_224,UN_235,ZH_224,佛說睒子經,1,1,19,22,19,24,
ZH_225,UN_241,ZH_225,佛說九色鹿經,1,1,19,25,19,30,
ZH_228,UN_825,ZH_228,佛說乳光佛經,1,1,19,31,19,35,
ZH_229,UN_845,ZH_229,無字寶篋經,1,1,19,36,19,39,
ZH_230,UN_846,ZH_230,大乘離文字普光明藏經,1,1,19,40,19,42,
ZH_231,UN_844,ZH_231,大乘遍照光明藏無字法門經,1,1,19,43,19,46,
ZH_232,UN_688,ZH_232,佛說老女人經,1,1,19,47,19,48,
ZH_233,UN_692,ZH_233,佛說無垢賢女經,1,1,19,49,19,51,
ZH_234,UN_689,ZH_234,佛說老母經,1,1,19,52,19,53,
ZH_235,UN_690,ZH_235,佛說母老六英經,1,1,19,54,19,56,
ZH_236,UN_693,ZH_236,佛說腹中女聽經,1,1,19,57,19,59,
ZH_237,UN_679,ZH_237,佛說月光童子經,1,1,19,60,19,69,
ZH_238,UN_680,ZH_238,申日兒本經,1,1,19,70,19,72,
ZH_239,UN_677,ZH_239,佛說德護長者經,2,2,19,73,19,94,
ZH_240,UN_633,ZH_240,伽耶山頂經,1,1,19,94,19,100,
ZH_241,UN_634,ZH_241,佛說象頭精舍經,1,1,19,101,19,105,
ZH_242,UN_672,ZH_242,佛說逝童子經,1,1,19,106,19,108,
ZH_243,UN_635,ZH_243,大乘伽耶山頂經,1,1,19,109,19,113,
ZH_244,UN_673,ZH_244,佛說長者子制經,1,1,19,114,19,116,
ZH_245,UN_674,ZH_245,佛說菩薩逝經,1,1,19,117,19,119,
ZH_246,UN_826,ZH_246,佛說犢子經,1,1,19,120,19,121,
ZH_247,UN_691,ZH_247,佛說轉女身經,1,1,19,122,19,133,
ZH_248,UN_678,ZH_248,佛說申日經,1,1,19,134,19,136,
ZH_249,UN_763,ZH_249,佛說無上依經,2,2,19,137,19,157,
ZH_250,UN_781,ZH_250,甚稀有經,1,1,19,158,19,161,
ZH_251,UN_386,ZH_251,佛說寶積三昧文殊師利菩薩問法身經,1,1,19,162,19,166,
ZH_252,UN_780,ZH_252,佛說未曾有經,1,1,19,167,19,169,
ZH_253,UN_783,ZH_253,佛說稀有校量功德經,1,1,19,170,19,173,
ZH_254,UN_829,ZH_254,佛說決定總持經,1,1,19,174,19,180,
ZH_255,UN_239,ZH_255,銀色女經,1,1,19,181,19,184,
ZH_256,UN_643,ZH_256,大乘百福莊嚴相經,1,1,19,185,19,189,
ZH_257,UN_828,ZH_257,謗佛經,1,1,19,190,19,194,
ZH_258,UN_385,ZH_258,入法界體性經,1,1,19,195,19,199,
ZH_259,UN_848,ZH_259,如來師子吼經,1,1,19,200,19,202,
ZH_260,UN_815,ZH_260,佛說菩薩修行四法經,1,1,19,203,19,204,
ZH_261,UN_664,ZH_261,阿闍世王授決經,1,1,19,205,19,208,
ZH_262,UN_847,ZH_262,大方廣師子吼經,1,1,19,209,19,212,
ZH_263,UN_642,ZH_263,大乘百福相經,1,1,19,213,19,217,
ZH_264,UN_665,ZH_264,採花違王上佛授決號妙花經,1,1,19,218,19,219,
ZH_265,UN_856,ZH_265,說妙法決定業障經,1,1,19,220,19,222,
ZH_266,UN_814,ZH_266,大乘四法經,1,1,19,223,19,223,
ZH_267,UN_855,ZH_267,稱讚大乘功德經,1,1,19,224,19,226,
ZH_268,UN_1562,ZH_268,善恭敬經,1,1,19,227,19,230,
ZH_269,UN_782,ZH_269,最無比經,1,1,19,231,19,237,
ZH_270,UN_238,ZH_270,前世三轉經,1,1,19,238,19,245,
ZH_271,UN_1563,ZH_271,佛說正恭敬經,1,1,19,246,19,248,
ZH_272,UN_668,ZH_272,如來示教勝軍王經,1,1,19,249,19,253,
ZH_273,UN_789,ZH_273,佛說浴像功德經,1,1,19,254,19,256,
ZH_274,UN_667,ZH_274,佛說諫王經,1,1,19,257,19,260,
ZH_275,UN_116,ZH_275,緣起聖道經,1,1,19,261,19,263,
ZH_276,UN_597,ZH_276,佛說八吉祥神咒經,1,1,19,264,19,265,
ZH_277,UN_687,ZH_277,佛說龍施菩薩本起經,1,1,19,266,19,268,
ZH_278,UN_791,ZH_278,佛說摩訶刹頭經,1,1,19,269,19,270,
ZH_279,UN_669,ZH_279,佛為勝光天子說王法經,1,1,19,271,19,275,
ZH_280,UN_599,ZH_280,八吉祥經,1,1,19,276,19,277,
ZH_281,UN_598,ZH_281,佛說八陽神咒經,1,1,19,278,19,279,
ZH_282,UN_788,ZH_282,浴佛功德經,1,1,19,280,19,282,
ZH_283,UN_778,ZH_283,佛說盂蘭盆經,1,1,19,283,19,285,
ZH_284,UN_820,ZH_284,曼殊室利咒藏中校量數珠功德經,1,1,19,286,19,287,
ZH_285,UN_704,ZH_285,佛說大方等修多羅王經,1,1,19,288,19,289,
ZH_286,UN_639,ZH_286,佛說文殊師利巡行經,1,1,19,290,19,293,
ZH_287,UN_705,ZH_287,佛說轉有經,1,1,19,294,19,295,
ZH_289,UN_596,ZH_289,八佛名號經,1,1,19,302,19,304,
ZH_290,UN_798,ZH_290,了本生死經,1,1,19,305,19,308,
ZH_291,UN_115,ZH_291,貝多樹下思惟十二因緣經,1,1,19,309,19,311,
ZH_292,UN_686,ZH_292,佛說龍施女經,1,1,19,312,19,313,
ZH_293,UN_799,ZH_293,佛說稻芊經,1,1,19,314,19,318,
ZH_294,UN_779,ZH_294,佛說報恩奉瓫經,1,1,19,319,19,320,
ZH_295,UN_790,ZH_295,佛說灌洗佛形象經,1,1,19,321,19,325,
ZH_297,UN_724,ZH_297,佛說自誓三昧經,1,1,19,326,19,331,
ZH_298,UN_785,ZH_298,佛說作佛形像經,1,1,19,332,19,334,
ZH_299,UN_723,ZH_299,佛說如來獨證自誓三昧經,1,1,19,335,19,339,
ZH_300,UN_784,ZH_300,佛說造立形像福報經,1,1,19,340,19,342,
ZH_301,UN_821,ZH_301,佛說校量數珠功德經,1,1,19,343,19,344,
ZH_302,UN_1124,ZH_302,不空[羅-維+絹]索神變真言經,30,30,19,345,19,656,
ZH_304,UN_1126,ZH_304,不空[羅-維+絹]索神咒心經,1,1,19,665,19,673,
ZH_305,UN_1130,ZH_305,不空[羅-維+絹]索陀羅尼自在王咒經,3,3,19,674,19,695,
ZH_306,UN_1132,ZH_306,不空[羅-維+絹]索陀羅尼經,1,1,19,696,19,723,
ZH_307,UN_10801,ZH_307,千眼千臂觀世音菩薩陀羅尼神咒經,2,2,19,724,19,737,
ZH_308,UN_10802,ZH_308,千眼千臂觀世音菩薩陀羅尼神咒經(別本),2,2,19,738,19,755,
ZH_309,UN_1079,ZH_309,千手千眼觀世音菩薩姥陀羅尼身經,1,1,19,756,19,771,
ZH_310,UN_10821,ZH_310,千手千眼觀世音菩薩廣大圓滿無礙大悲心陀羅尼經,1,1,19,772,19,788,
ZH_311,UN_10822,ZH_311,千手千眼觀世音菩薩廣大圓滿無礙大悲心陀羅尼經(別本),1,1,19,789,19,799,
ZH_312,UN_1115,ZH_312,觀世音菩薩如意摩尼陀羅尼經,1,1,19,800,19,804,
ZH_313,UN_1114,ZH_313,觀世音秘密藏如意輪陀羅尼神咒經,1,1,19,805,19,812,
ZH_314,UN_401,ZH_314,拔一切業障根本得生淨土神咒,1,1,19,813,19,814,
ZH_315,UN_1113,ZH_315,佛說觀自在菩薩如意心陀羅尼咒經,1,1,19,815,19,817,
ZH_316,UN_1112,ZH_316,如意輪陀羅尼經,1,1,19,818,19,835,
ZH_317,UN_1220,ZH_317,大方廣菩薩藏經中文殊師利根本一字陀羅尼經,1,1,19,836,19,839,
ZH_318,UN_1007,ZH_318,大金色孔雀王咒經,1,1,19,840,19,842,
ZH_319,UN_1393,ZH_319,佛說十二佛名神咒校量功德除障滅罪經,1,1,19,843,19,846,
ZH_320,UN_1221,ZH_320,曼殊室利菩薩咒藏中一字咒王經,1,1,19,847,19,849,
ZH_321,UN_1394,ZH_321,佛說稱讚如來功德神咒經,1,1,19,850,19,851,
ZH_322,UN_1006,ZH_322,佛說大孔雀咒王經,3,3,19,852,19,889,
ZH_323,UN_1009,ZH_323,孔雀王咒經,1,1,19,890,19,895,
ZH_324,UN_1008,ZH_324,佛說大金色孔雀王咒經,1,1,19,896,19,901,
ZH_325,UN_1005,ZH_325,孔雀王咒經,2,2,19,902,19,929,
ZH_326,UN_919,ZH_326,佛說陀羅尼集經,12,12,20,1,20,213,
ZH_327,UN_1057,ZH_327,千轉陀羅尼觀世音菩薩咒,1,1,20,214,20,216,
ZH_328,UN_1096,ZH_328,佛說十一面觀世音神咒經,1,1,20,217,20,223,
ZH_329,UN_1297,ZH_329,佛說摩利支天陀羅尼咒經,1,1,20,224,20,225,
ZH_330,UN_1056,ZH_330,呪五首,1,1,20,226,20,227,
ZH_331,UN_1097,ZH_331,十一面神咒心經,1,1,20,228,20,233,
ZH_332,UN_10671,ZH_332,佛說六字神咒王經,1,1,20,234,20,237,
ZH_333,UN_10672,ZH_333,六字神咒王經(別本),1,1,20,238,20,241,
ZH_334,UN_1102,ZH_334,佛說七俱胝佛母准提大明陀羅尼經,1,1,20,242,20,254,
ZH_335,UN_1218,ZH_335,六字神呪經,1,1,20,255,20,256,
ZH_336,UN_1104,ZH_336,佛說七俱胝佛母心大准提陀羅尼經,1,1,20,257,20,261,
ZH_337,UN_11361,ZH_337,觀自在菩薩隨心咒經,1,1,20,262,20,270,
ZH_338,UN_11362,ZH_338,觀自在菩薩隨心咒經(別本),1,1,20,271,20,278,
ZH_339,UN_11363,ZH_339,觀自在菩薩怛嚩多唎隨心陀羅尼經(別本),1,1,20,279,20,291,
ZH_340,UN_1385,ZH_340,種種雜咒經,1,1,20,292,20,296,
ZH_341,UN_986,ZH_341,最勝佛頂陀羅尼淨除業障咒經,1,1,20,297,20,305,
ZH_342,UN_984,ZH_342,佛頂尊勝陀羅尼經,1,1,20,306,20,309,
ZH_343,UN_987,ZH_343,佛說佛頂尊勝陀羅尼經,1,1,20,310,20,314,
ZH_344,UN_9851,ZH_344,佛頂最勝陀羅尼經,1,1,20,315,20,319,
